canister	kind	built_wasm_bytes	built_wasm_gz_bytes	shrunk_wasm_bytes	shrunk_wasm_gz_bytes	shrink_delta_bytes	shrink_delta_percent	built_functions	shrunk_functions	built_exports	shrunk_exports
app	leaf-canister	3104849	896754	3104849	896754	0	0.00	5295	5295	32	32
minimal	leaf-canister	3104849	896443	3104849	896443	0	0.00	5295	5295	32	32
user_hub	leaf-canister	3262469	948699	3262469	948699	0	0.00	5576	5576	35	35
user_shard	leaf-canister	3134775	907894	3134775	907894	0	0.00	5345	5345	34	34
scale_hub	leaf-canister	3162647	915032	3162647	915032	0	0.00	5384	5384	35	35
scale	leaf-canister	3104849	898109	3104849	898109	0	0.00	5295	5295	32	32
shard_hub	leaf-canister	3267383	948590	3267383	948590	0	0.00	5583	5583	36	36
shard	leaf-canister	3104849	897672	3104849	897672	0	0.00	5295	5295	32	32
test	leaf-canister	3114693	900115	3114693	900115	0	0.00	5322	5322	34	34
root	bundle-canister	11601065	9151493	11006761	8551781	594304	5.12	5730	5730	42	42
